
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create Generate Chart Procedure: ACSBV3_generate_chart                                                            ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:39                                                                                            0602F (v1.0)
                                                                                                                           

Procedure Created: ACSBV3_generate_chart

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Table: ACSBV3_aux_armor_general                                                               ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:39                                                                                            0602F (v1.0)
                                                                                                                           
COUNT(*)
30
COUNT(*)
30
COUNT(*)
30
COUNT(*)
30
COUNT(*)
30
slot_group	ItemLevelBracket	armor	armorCost	budget_avg	budget_ratio
Moderate-Armor (Mail)	260	1150.35201	230.07040	724.66900	31.74834
Moderate-Armor (Mail)	270	1171.21849	234.24370	755.48326	31.00581
Moderate-Armor (Mail)	280	1171.21849	234.24370	755.48326	31.00581
Moderate-Armor (Mail)	290	1171.21849	234.24370	755.48326	31.00581
Moderate-Armor (Mail)	300	1171.21849	234.24370	755.48326	31.00581
Minor-Armor (Mail)	10	92.53609	18.50722	20.95940	88.30033
Minor-Armor (Mail)	20	104.26648	20.85330	24.72577	84.33832
Minor-Armor (Mail)	30	127.68566	25.53713	31.96583	79.88884
Minor-Armor (Mail)	40	152.35261	30.47052	40.55565	75.13261
Minor-Armor (Mail)	50	183.90074	36.78015	52.10694	70.58590
Minor-Armor (Mail)	60	245.17948	49.03590	75.19177	65.21445
Minor-Armor (Mail)	70	285.29627	57.05925	86.03488	66.32107
Minor-Armor (Mail)	80	310.39113	62.07823	87.31668	71.09550
Minor-Armor (Mail)	90	319.40155	63.88031	87.31668	73.15934
Minor-Armor (Mail)	100	351.30296	70.26059	96.54882	72.77209
Minor-Armor (Mail)	110	422.19350	84.43870	132.56644	63.69538
Minor-Armor (Mail)	120	471.52683	94.30537	155.97855	60.46047
Minor-Armor (Mail)	130	521.79556	104.35911	178.67011	58.40882
Minor-Armor (Mail)	140	541.14539	108.22908	184.23259	58.74589
Minor-Armor (Mail)	150	546.81206	109.36241	184.23259	59.36106
Minor-Armor (Mail)	160	553.66282	110.73256	184.23259	60.10476
Minor-Armor (Mail)	170	578.43098	115.68620	184.23259	62.79356
Minor-Armor (Mail)	180	647.77383	129.55477	239.69758	54.04926
Minor-Armor (Mail)	190	647.77383	129.55477	239.69758	54.04926
Minor-Armor (Mail)	200	710.34262	142.06852	315.00340	45.10063
Minor-Armor (Mail)	210	753.38201	150.67640	377.09521	39.95712
Minor-Armor (Mail)	220	779.95313	155.99063	424.85029	36.71661
Minor-Armor (Mail)	230	791.24266	158.24853	458.35244	34.52551
Minor-Armor (Mail)	240	819.18967	163.83793	492.78987	33.24702
Minor-Armor (Mail)	250	838.89731	167.77946	530.08278	31.65156
Minor-Armor (Mail)	260	885.80021	177.16004	584.85834	30.29110
Minor-Armor (Mail)	270	929.41987	185.88397	647.75257	28.69676
Minor-Armor (Mail)	280	958.69737	191.73947	684.10724	28.02769
Minor-Armor (Mail)	290	958.69737	191.73947	684.10724	28.02769
Minor-Armor (Mail)	300	958.69737	191.73947	684.10724	28.02769

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  6. Create and Populate Table: ACSBV3_aux_armor_plate                                                                 ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:58:17                                                                                            0602F (v1.0)
                                                                                                                           
COUNT(*)
30
COUNT(*)
30
COUNT(*)
30
slot_group	ItemLevelBracket	armor	armorCost	budget_avg	budget_ratio
Major-Armor (Plate)	10	0.00000	0.00000	0.00000	0.00000
Major-Armor (Plate)	20	0.00000	0.00000	0.00000	0.00000
Major-Armor (Plate)	30	0.00000	0.00000	0.00000	0.00000
Major-Armor (Plate)	40	456.57468	91.31494	103.85885	87.92216
Major-Armor (Plate)	50	515.97321	103.19464	121.65928	84.82266
Major-Armor (Plate)	60	672.31448	134.46290	167.10630	80.46549
Major-Armor (Plate)	70	799.07660	159.81532	200.74683	79.61038
Major-Armor (Plate)	80	879.23651	175.84730	218.05595	80.64320
Major-Armor (Plate)	90	925.16275	185.03255	224.41520	82.45099
Major-Armor (Plate)	100	1007.30505	201.46101	253.75347	79.39242
Major-Armor (Plate)	110	1194.43741	238.88748	317.55469	75.22719
Major-Armor (Plate)	120	1352.77466	270.55493	370.98950	72.92792
Major-Armor (Plate)	130	1512.17244	302.43449	422.06161	71.65648
Major-Armor (Plate)	140	1603.26926	320.65385	447.08174	71.72153
Major-Armor (Plate)	150	1657.60772	331.52154	461.67469	71.80847
Major-Armor (Plate)	160	1676.05609	335.21122	461.67469	72.60767
Major-Armor (Plate)	170	1731.45192	346.29038	475.72099	72.79275
Major-Armor (Plate)	180	1874.72827	374.94565	549.06480	68.28805
Major-Armor (Plate)	190	1874.72827	374.94565	549.06480	68.28805
Major-Armor (Plate)	200	2040.03743	408.00749	658.51120	61.95908
Major-Armor (Plate)	210	2149.19577	429.83915	733.88852	58.57009
Major-Armor (Plate)	220	2195.72082	439.14416	782.97872	56.08635
Major-Armor (Plate)	230	2249.66808	449.93362	829.98232	54.21002
Major-Armor (Plate)	240	2330.33281	466.06656	887.29477	52.52669
Major-Armor (Plate)	250	2475.44749	495.08950	961.97614	51.46588
Major-Armor (Plate)	260	2602.41452	520.48290	1042.42458	49.93003
Major-Armor (Plate)	270	2680.82468	536.16494	1083.90536	49.46603
Major-Armor (Plate)	280	2680.82468	536.16494	1083.90536	49.46603
Major-Armor (Plate)	290	2680.82468	536.16494	1083.90536	49.46603
Major-Armor (Plate)	300	2680.82468	536.16494	1083.90536	49.46603
Moderate-Armor (Plate)	10	0.00000	0.00000	0.00000	0.00000
Moderate-Armor (Plate)	20	0.00000	0.00000	0.00000	0.00000
Moderate-Armor (Plate)	30	0.00000	0.00000	0.00000	0.00000
Moderate-Armor (Plate)	40	377.96023	75.59205	87.88885	86.00869
Moderate-Armor (Plate)	50	430.79400	86.15880	103.93135	82.89972
Moderate-Armor (Plate)	60	554.20789	110.84158	141.32694	78.42919
Moderate-Armor (Plate)	70	659.95254	131.99051	166.76970	79.14538
Moderate-Armor (Plate)	80	714.65584	142.93117	175.20163	81.58096
Moderate-Armor (Plate)	90	772.87806	154.57561	183.02585	84.45562
Moderate-Armor (Plate)	100	837.12936	167.42587	209.56688	79.89138
Moderate-Armor (Plate)	110	1003.63119	200.72624	267.85198	74.93924
Moderate-Armor (Plate)	120	1125.45342	225.09068	310.33200	72.53222
Moderate-Armor (Plate)	130	1253.12981	250.62596	348.34877	71.94685
Moderate-Armor (Plate)	140	1324.71528	264.94306	369.35318	71.73163
Moderate-Armor (Plate)	150	1344.96528	268.99306	369.35318	72.82814
Moderate-Armor (Plate)	160	1373.17063	274.63413	369.35318	74.35543
Moderate-Armor (Plate)	170	1431.37202	286.27440	381.32054	75.07448
Moderate-Armor (Plate)	180	1581.43426	316.28685	461.34361	68.55776
Moderate-Armor (Plate)	190	1581.43426	316.28685	461.34361	68.55776
Moderate-Armor (Plate)	200	1713.03243	342.60649	551.18253	62.15845
Moderate-Armor (Plate)	210	1793.92961	358.78592	623.88979	57.50790
Moderate-Armor (Plate)	220	1832.27096	366.45419	670.22680	54.67615
Moderate-Armor (Plate)	230	1878.74235	375.74847	714.95742	52.55536
Moderate-Armor (Plate)	240	1931.90172	386.38034	759.58737	50.86714
Moderate-Armor (Plate)	250	1996.45646	399.29129	806.40436	49.51502
Moderate-Armor (Plate)	260	2062.12500	412.42500	861.43601	47.87645
Moderate-Armor (Plate)	270	2097.38393	419.47679	888.91072	47.18998
Moderate-Armor (Plate)	280	2097.38393	419.47679	888.91072	47.18998
Moderate-Armor (Plate)	290	2097.38393	419.47679	888.91072	47.18998
Moderate-Armor (Plate)	300	2097.38393	419.47679	888.91072	47.18998
Minor-Armor (Plate)	10	0.00000	0.00000	0.00000	0.00000
Minor-Armor (Plate)	20	0.00000	0.00000	0.00000	0.00000
Minor-Armor (Plate)	30	0.00000	0.00000	0.00000	0.00000
Minor-Armor (Plate)	40	274.99170	54.99834	66.03001	83.29295
Minor-Armor (Plate)	50	315.47022	63.09404	78.50894	80.36542
Minor-Armor (Plate)	60	430.32466	86.06493	112.50371	76.49964
Minor-Armor (Plate)	70	507.34874	101.46975	132.84574	76.38164
Minor-Armor (Plate)	80	550.23965	110.04793	139.30763	78.99634
Minor-Armor (Plate)	90	559.71373	111.94275	139.30763	80.35651
Minor-Armor (Plate)	100	618.90733	123.78147	156.47517	79.10614
Minor-Armor (Plate)	110	750.20733	150.04147	204.67671	73.30657
Minor-Armor (Plate)	120	855.56288	171.11258	238.31135	71.80211
Minor-Armor (Plate)	130	938.88324	187.77665	267.50237	70.19626
Minor-Armor (Plate)	140	979.98627	195.99725	276.96103	70.76709
Minor-Armor (Plate)	150	1003.07777	200.61555	278.35832	72.07097
Minor-Armor (Plate)	160	1004.98819	200.99764	278.35832	72.20824
Minor-Armor (Plate)	170	1050.26611	210.05322	283.17135	74.17884
Minor-Armor (Plate)	180	1162.53742	232.50748	348.74671	66.66944
Minor-Armor (Plate)	190	1162.53742	232.50748	348.74671	66.66944
Minor-Armor (Plate)	200	1288.73142	257.74628	434.11547	59.37275
Minor-Armor (Plate)	210	1359.21321	271.84264	492.48974	55.19763
Minor-Armor (Plate)	220	1387.29485	277.45897	529.24382	52.42555
Minor-Armor (Plate)	230	1400.52941	280.10588	557.29705	50.26150
Minor-Armor (Plate)	240	1462.07527	292.41505	596.44693	49.02616
Minor-Armor (Plate)	250	1547.65350	309.53070	642.19625	48.19877
Minor-Armor (Plate)	260	1674.23971	334.84794	705.50221	47.46235
Minor-Armor (Plate)	270	1795.83110	359.16622	777.49155	46.19551
Minor-Armor (Plate)	280	1857.37931	371.47586	817.10977	45.46217
Minor-Armor (Plate)	290	1857.37931	371.47586	817.10977	45.46217
Minor-Armor (Plate)	300	1857.37931	371.47586	817.10977	45.46217

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  7. Create and Populate Table: ACSBV3_aux_armor_all                                                                   ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:58:24                                                                                            0602F (v1.0)
                                                                                                                           
slot_group	ItemLevelBracket	armor	armorCost	budget_avg	budget_ratio
Major-Armor	10	76.11206	15.22241	19.11266	79.64569
Major-Armor	20	86.27878	17.25576	22.72341	75.93825
Major-Armor	30	122.92889	24.58578	33.18994	74.07600
Major-Armor	40	169.39521	33.87904	45.65997	74.19856
Major-Armor	50	231.61453	46.32291	65.17430	71.07542
Major-Armor	60	308.98233	61.79647	93.44090	66.13428
Major-Armor	70	375.16844	75.03369	113.60064	66.05041
Major-Armor	80	425.86409	85.17282	123.49087	68.97094
Major-Armor	90	446.29184	89.25837	124.77947	71.53290
Major-Armor	100	481.61389	96.32278	143.20709	67.26118
Major-Armor	110	561.67794	112.33559	182.73463	61.47471
Major-Armor	120	652.91057	130.58211	219.18006	59.57755
Major-Armor	130	748.92476	149.78495	254.03686	58.96190
Major-Armor	140	809.77090	161.95418	271.52707	59.64568
Major-Armor	150	867.45363	173.49073	280.70315	61.80577
Major-Armor	160	882.86524	176.57305	280.70315	62.90384
Major-Armor	170	928.98985	185.79797	300.56158	61.81694
Major-Armor	180	989.56254	197.91251	364.85741	54.24380
Major-Armor	190	989.56254	197.91251	364.85741	54.24380
Major-Armor	200	1090.87471	218.17494	463.51206	47.06996
Major-Armor	210	1169.92675	233.98535	543.95059	43.01592
Major-Armor	220	1203.90051	240.78010	603.35766	39.90669
Major-Armor	230	1249.63916	249.92783	656.28697	38.08210
Major-Armor	240	1274.78287	254.95657	705.83253	36.12140
Major-Armor	250	1357.63371	271.52674	769.73945	35.27515
Major-Armor	260	1394.43512	278.88702	832.82105	33.48703
Major-Armor	270	1432.12829	286.42566	866.94584	33.03847
Major-Armor	280	1432.12829	286.42566	866.94584	33.03847
Major-Armor	290	1432.12829	286.42566	866.94584	33.03847
Major-Armor	300	1432.12829	286.42566	866.94584	33.03847
Moderate-Armor	10	0.00000	0.00000	0.00000	0.00000
Moderate-Armor	20	81.41098	16.28220	22.05982	73.80931
Moderate-Armor	30	104.52766	20.90553	28.08212	74.44427
Moderate-Armor	40	152.05774	30.41155	41.63458	73.04397
Moderate-Armor	50	203.35082	40.67016	58.11457	69.98273
Moderate-Armor	60	262.39838	52.47968	81.59912	64.31403
Moderate-Armor	70	305.46777	61.09355	94.82957	64.42458
Moderate-Armor	80	339.61026	67.92205	99.69724	68.12832
Moderate-Armor	90	357.76849	71.55370	101.33247	70.61281
Moderate-Armor	100	394.21251	78.84250	119.50721	65.97301
Moderate-Armor	110	479.79023	95.95805	157.97702	60.74178
Moderate-Armor	120	555.72065	111.14413	187.54119	59.26385
Moderate-Armor	130	626.22057	125.24411	212.75869	58.86674
Moderate-Armor	140	663.34914	132.66983	224.96041	58.97475
Moderate-Armor	150	667.10632	133.42126	224.96041	59.30877
Moderate-Armor	160	711.96418	142.39284	224.96041	63.29684
Moderate-Armor	170	762.39625	152.47925	237.99820	64.06740
Moderate-Armor	180	875.21184	175.04237	309.60812	56.53675
Moderate-Armor	190	875.21184	175.04237	309.60812	56.53675
Moderate-Armor	200	927.39790	185.47958	395.88043	46.85242
Moderate-Armor	210	977.13321	195.42664	464.55809	42.06721
Moderate-Armor	220	993.76522	198.75304	515.17120	38.58000
Moderate-Armor	230	1037.20476	207.44095	565.74621	36.66679
Moderate-Armor	240	1053.56525	210.71305	605.92672	34.77534
Moderate-Armor	250	1093.58171	218.71634	653.16702	33.48551
Moderate-Armor	260	1117.38304	223.47661	702.49774	31.81172
Moderate-Armor	270	1144.23276	228.84655	731.32020	31.29225
Moderate-Armor	280	1144.23276	228.84655	731.32020	31.29225
Moderate-Armor	290	1144.23276	228.84655	731.32020	31.29225
Moderate-Armor	300	1144.23276	228.84655	731.32020	31.29225
Minor-Armor	10	49.94304	9.98861	12.47715	80.05522
Minor-Armor	20	58.35366	11.67073	15.45055	75.53602
Minor-Armor	30	86.81254	17.36251	23.42005	74.13524
Minor-Armor	40	119.11328	23.82266	33.14296	71.87849
Minor-Armor	50	156.83600	31.36720	46.29596	67.75364
Minor-Armor	60	206.58473	41.31695	66.10492	62.50208
Minor-Armor	70	242.93184	48.58637	77.25287	62.89264
Minor-Armor	80	267.59451	53.51890	79.43110	67.37777
Minor-Armor	90	277.05754	55.41151	79.43110	69.76047
Minor-Armor	100	302.58203	60.51641	88.42813	68.43570
Minor-Armor	110	370.95791	74.19158	122.42042	60.60393
Minor-Armor	120	418.88545	83.77709	144.99494	57.77932
Minor-Armor	130	475.30803	95.06161	167.78196	56.65783
Minor-Armor	140	495.91727	99.18345	173.39788	57.19992
Minor-Armor	150	507.10325	101.42065	173.39788	58.49013
Minor-Armor	160	507.10325	101.42065	173.39788	58.49013
Minor-Armor	170	529.46845	105.89369	173.39788	61.06977
Minor-Armor	180	601.58855	120.31771	231.22020	52.03599
Minor-Armor	190	601.58855	120.31771	231.22020	52.03599
Minor-Armor	200	672.21517	134.44303	308.11258	43.63439
Minor-Armor	210	716.47807	143.29561	368.27201	38.91026
Minor-Armor	220	734.84848	146.96970	411.74092	35.69470
Minor-Armor	230	742.88042	148.57608	444.78997	33.40365
Minor-Armor	240	783.99021	156.79804	481.05661	32.59451
Minor-Armor	250	822.53918	164.50784	519.83224	31.64633
Minor-Armor	260	894.07313	178.81463	573.92014	31.15671
Minor-Armor	270	966.87405	193.37481	622.66421	31.05603
Minor-Armor	280	1015.17560	203.03512	652.12084	31.13459
Minor-Armor	290	1015.17560	203.03512	652.12084	31.13459
Minor-Armor	300	1015.17560	203.03512	652.12084	31.13459
Shield	10	380.02015	76.00403	77.39506	98.20269
Shield	20	475.96581	95.19316	97.35861	97.77580
Shield	30	829.40778	165.88156	170.12044	97.50831
Shield	40	1255.37890	251.07578	256.74317	97.79258
Shield	50	1753.13128	350.62626	358.25603	97.87030
Shield	60	2397.59408	479.51882	492.14182	97.43509
Shield	70	2818.61548	563.72310	576.88607	97.71827
Shield	80	3134.24405	626.84881	641.01687	97.78975
Shield	90	3193.12500	638.62500	652.23306	97.91362
Shield	100	3566.48485	713.29697	735.90647	96.92767
Shield	110	4202.04041	840.40808	873.57591	96.20321
Shield	120	4642.96898	928.59380	966.03591	96.12415
Shield	130	5107.91746	1021.58349	1066.26667	95.80938
Shield	140	5432.13113	1086.42623	1136.91859	95.55884
Shield	150	5859.36923	1171.87385	1239.21859	94.56555
Shield	160	6008.71367	1201.74273	1266.25748	94.90508
Shield	170	6191.83333	1238.36667	1305.65833	94.84615
Shield	180	6653.83333	1330.76667	1417.07833	93.90918
Shield	190	6653.83333	1330.76667	1417.07833	93.90918
Shield	200	7245.55556	1449.11111	1579.66278	91.73547
Shield	210	7696.66667	1539.33333	1714.94611	89.75987
Shield	220	7878.30303	1575.66061	1773.08066	88.86570
Shield	230	8063.30303	1612.66061	1827.12399	88.26224
Shield	240	8293.11784	1658.62357	1892.93140	87.62196
Shield	250	8587.14815	1717.42963	1977.51019	86.84808
Shield	260	8862.61481	1772.52296	2059.30185	86.07398
Shield	270	9004.20000	1800.84000	2098.62500	85.81047
Shield	280	9004.20000	1800.84000	2098.62500	85.81047
Shield	290	9004.20000	1800.84000	2098.62500	85.81047
Shield	300	9004.20000	1800.84000	2098.62500	85.81047
Back	10	16.30625	3.26125	5.66730	57.54504
Back	20	19.27689	3.85538	6.99880	55.08630
Back	30	24.74659	4.94932	9.91953	49.89470
Back	40	31.98113	6.39623	12.93656	49.44305
Back	50	41.77084	8.35417	19.14743	43.63076
Back	60	58.23623	11.64725	27.91629	41.72206
Back	70	68.98085	13.79617	32.81410	42.04342
Back	80	75.51842	15.10368	36.00846	41.94481
Back	90	79.37222	15.87444	36.64354	43.32125
Back	100	92.37863	18.47573	45.24282	40.83682
Back	110	106.31197	21.26239	57.98541	36.66852
Back	120	111.45085	22.29017	66.88541	33.32591
Back	130	111.45085	22.29017	72.12027	30.90694
Back	140	111.45085	22.29017	78.12440	28.53164
Back	150	126.37037	25.27407	86.74821	29.13498
Back	160	129.77778	25.95556	86.74821	29.92057
Back	170	148.57778	29.71556	96.83881	30.68559
Back	180	151.03333	30.20667	124.54667	24.25329
Back	190	151.03333	30.20667	124.54667	24.25329
Back	200	165.90139	33.18028	176.05188	18.84688
Back	210	165.90139	33.18028	214.12354	15.49586
Back	220	174.42361	34.88472	248.90715	14.01515
Back	230	174.77778	34.95556	275.53982	12.68621
Back	240	179.84674	35.96935	299.35977	12.01543
Back	250	180.22048	36.04410	321.61116	11.20735
Back	260	185.80872	37.16174	346.57181	10.72267
Back	270	191.40642	38.28128	383.35686	9.98581
Back	280	191.40642	38.28128	401.26030	9.54026
Back	290	191.40642	38.28128	401.26030	9.54026
Back	300	191.40642	38.28128	401.26030	9.54026
Major-Armor (Cloth)	10	31.13859	6.22772	9.92778	62.73024
Major-Armor (Cloth)	20	35.77017	7.15403	12.11046	59.07315
Major-Armor (Cloth)	30	46.14471	9.22894	16.97609	54.36434
Major-Armor (Cloth)	40	56.54999	11.31000	21.07800	53.65784
Major-Armor (Cloth)	50	73.37530	14.67506	30.95180	47.41262
Major-Armor (Cloth)	60	101.75676	20.35135	47.44037	42.89880
Major-Armor (Cloth)	70	125.45448	25.09090	59.02893	42.50611
Major-Armor (Cloth)	80	134.15972	26.83194	59.72986	44.92215
Major-Armor (Cloth)	90	134.15972	26.83194	59.72986	44.92215
Major-Armor (Cloth)	100	137.08975	27.41795	68.32258	40.13014
Major-Armor (Cloth)	110	160.20620	32.04124	95.33796	33.60806
Major-Armor (Cloth)	120	199.50923	39.90185	119.62229	33.35653
Major-Armor (Cloth)	130	242.06008	48.41202	140.89248	34.36097
Major-Armor (Cloth)	140	277.99085	55.59817	151.82432	36.62007
Major-Armor (Cloth)	150	277.99085	55.59817	151.82432	36.62007
Major-Armor (Cloth)	160	277.99085	55.59817	151.82432	36.62007
Major-Armor (Cloth)	170	277.99085	55.59817	151.82432	36.62007
Major-Armor (Cloth)	180	277.99085	55.59817	203.13662	27.36984
Major-Armor (Cloth)	190	277.99085	55.59817	203.13662	27.36984
Major-Armor (Cloth)	200	277.99085	55.59817	292.10720	19.03348
Major-Armor (Cloth)	210	287.80072	57.56014	364.28325	15.80093
Major-Armor (Cloth)	220	294.15199	58.83040	427.43909	13.76346
Major-Armor (Cloth)	230	300.81775	60.16355	478.08497	12.58428
Major-Armor (Cloth)	240	310.65212	62.13042	525.90181	11.81407
Major-Armor (Cloth)	250	322.32137	64.46427	575.56097	11.20025
Major-Armor (Cloth)	260	332.65141	66.53028	631.01091	10.54344
Major-Armor (Cloth)	270	338.36842	67.67368	658.68158	10.27411
Major-Armor (Cloth)	280	338.36842	67.67368	658.68158	10.27411
Major-Armor (Cloth)	290	338.36842	67.67368	658.68158	10.27411
Major-Armor (Cloth)	300	338.36842	67.67368	658.68158	10.27411
Moderate-Armor (Cloth)	10	0.00000	0.00000	0.00000	0.00000
Moderate-Armor (Cloth)	20	33.58696	6.71739	12.07772	55.61803
Moderate-Armor (Cloth)	30	38.09719	7.61944	14.50214	52.54011
Moderate-Armor (Cloth)	40	47.80886	9.56177	19.92266	47.99444
Moderate-Armor (Cloth)	50	60.85466	12.17093	28.14820	43.23875
Moderate-Armor (Cloth)	60	84.77479	16.95496	42.14665	40.22849
Moderate-Armor (Cloth)	70	100.59935	20.11987	50.51454	39.82986
Moderate-Armor (Cloth)	80	106.20935	21.24187	50.51454	42.05100
Moderate-Armor (Cloth)	90	106.59848	21.31970	50.51454	42.20508
Moderate-Armor (Cloth)	100	112.96356	22.59271	58.85807	38.38507
Moderate-Armor (Cloth)	110	134.84690	26.96938	85.72818	31.45918
Moderate-Armor (Cloth)	120	165.65933	33.13187	103.74859	31.93477
Moderate-Armor (Cloth)	130	201.45050	40.29010	120.14372	33.53492
Moderate-Armor (Cloth)	140	232.65050	46.53010	127.51033	36.49124
Moderate-Armor (Cloth)	150	232.65050	46.53010	127.51033	36.49124
Moderate-Armor (Cloth)	160	232.65050	46.53010	127.51033	36.49124
Moderate-Armor (Cloth)	170	232.65050	46.53010	127.51033	36.49124
Moderate-Armor (Cloth)	180	232.65050	46.53010	151.58870	30.69497
Moderate-Armor (Cloth)	190	232.65050	46.53010	151.58870	30.69497
Moderate-Armor (Cloth)	200	232.65050	46.53010	246.91576	18.84452
Moderate-Armor (Cloth)	210	239.87454	47.97491	314.63454	15.24782
Moderate-Armor (Cloth)	220	245.64281	49.12856	370.27367	13.26818
Moderate-Armor (Cloth)	230	251.76600	50.35320	417.52797	12.05984
Moderate-Armor (Cloth)	240	258.79973	51.75995	455.80733	11.35566
Moderate-Armor (Cloth)	250	267.29722	53.45944	496.97135	10.75705
Moderate-Armor (Cloth)	260	275.83426	55.16685	543.08444	10.15806
Moderate-Armor (Cloth)	270	280.43889	56.08778	568.05167	9.87371
Moderate-Armor (Cloth)	280	280.43889	56.08778	568.05167	9.87371
Moderate-Armor (Cloth)	290	280.43889	56.08778	568.05167	9.87371
Moderate-Armor (Cloth)	300	280.43889	56.08778	568.05167	9.87371
Minor-Armor (Cloth)	10	18.78130	3.75626	5.97371	62.87985
Minor-Armor (Cloth)	20	22.63490	4.52698	7.59212	59.62735
Minor-Armor (Cloth)	30	30.48824	6.09765	10.80145	56.45214
Minor-Armor (Cloth)	40	38.26152	7.65230	15.35371	49.84007
Minor-Armor (Cloth)	50	48.38523	9.67705	23.04455	41.99279
Minor-Armor (Cloth)	60	65.28745	13.05749	35.40017	36.88539
Minor-Armor (Cloth)	70	74.62664	14.92533	40.86353	36.52482
Minor-Armor (Cloth)	80	78.07357	15.61471	40.86353	38.21185
Minor-Armor (Cloth)	90	78.07357	15.61471	40.86353	38.21185
Minor-Armor (Cloth)	100	84.52363	16.90473	42.11623	40.13828
Minor-Armor (Cloth)	110	101.39450	20.27890	63.89957	31.73558
Minor-Armor (Cloth)	120	117.72474	23.54495	79.52120	29.60839
Minor-Armor (Cloth)	130	139.50871	27.90174	92.19456	30.26398
Minor-Armor (Cloth)	140	154.58952	30.91790	96.03150	32.19558
Minor-Armor (Cloth)	150	155.36229	31.07246	96.03150	32.35653
Minor-Armor (Cloth)	160	155.36229	31.07246	96.03150	32.35653
Minor-Armor (Cloth)	170	155.36229	31.07246	96.03150	32.35653
Minor-Armor (Cloth)	180	155.36229	31.07246	135.76153	22.88753
Minor-Armor (Cloth)	190	155.36229	31.07246	135.76153	22.88753
Minor-Armor (Cloth)	200	170.49784	34.09957	202.96205	16.80096
Minor-Armor (Cloth)	210	180.61463	36.12293	259.72652	13.90806
Minor-Armor (Cloth)	220	186.34320	37.26864	306.26271	12.16885
Minor-Armor (Cloth)	230	189.01870	37.80374	343.94972	10.99107
Minor-Armor (Cloth)	240	194.82496	38.96499	374.25675	10.41130
Minor-Armor (Cloth)	250	199.73700	39.94740	405.68083	9.84700
Minor-Armor (Cloth)	260	207.86508	41.57302	446.26879	9.31569
Minor-Armor (Cloth)	270	207.86508	41.57302	451.02990	9.21735
Minor-Armor (Cloth)	280	207.86508	41.57302	456.55588	9.10579
Minor-Armor (Cloth)	290	207.86508	41.57302	456.55588	9.10579
Minor-Armor (Cloth)	300	207.86508	41.57302	456.55588	9.10579
Major-Armor (Leather)	10	70.15687	14.03137	18.08642	77.57959
Major-Armor (Leather)	20	78.66979	15.73396	21.68986	72.54062
Major-Armor (Leather)	30	95.93831	19.18766	28.71975	66.80998
Major-Armor (Leather)	40	116.92465	23.38493	36.70550	63.70961
Major-Armor (Leather)	50	144.11943	28.82389	49.31726	58.44585
Major-Armor (Leather)	60	190.67631	38.13526	71.51150	53.32745
Major-Armor (Leather)	70	222.69066	44.53813	85.26610	52.23428
Major-Armor (Leather)	80	238.08855	47.61771	89.70368	53.08334
Major-Armor (Leather)	90	238.08855	47.61771	89.70368	53.08334
Major-Armor (Leather)	100	253.88220	50.77644	100.21978	50.66509
Major-Armor (Leather)	110	305.44000	61.08800	130.02349	46.98228
Major-Armor (Leather)	120	348.71251	69.74250	155.65299	44.80640
Major-Armor (Leather)	130	390.03632	78.00726	180.65109	43.18117
Major-Armor (Leather)	140	413.67696	82.73539	191.33591	43.24091
Major-Armor (Leather)	150	423.03251	84.60650	191.33591	44.21883
Major-Armor (Leather)	160	424.15026	84.83005	191.33591	44.33567
Major-Armor (Leather)	170	432.93283	86.58657	200.89126	43.10121
Major-Armor (Leather)	180	469.85987	93.97197	266.46101	35.26669
Major-Armor (Leather)	190	469.85987	93.97197	266.46101	35.26669
Major-Armor (Leather)	200	513.80580	102.76116	352.60893	29.14310
Major-Armor (Leather)	210	538.05288	107.61058	428.51756	25.11229
Major-Armor (Leather)	220	552.43060	110.48612	489.00543	22.59405
Major-Armor (Leather)	230	567.02406	113.40481	540.88013	20.96672
Major-Armor (Leather)	240	585.77578	117.15516	588.20460	19.91742
Major-Armor (Leather)	250	605.91228	121.18246	642.96888	18.84733
Major-Armor (Leather)	260	624.21705	124.84341	700.89539	17.81199
Major-Armor (Leather)	270	634.11905	126.82381	730.13929	17.36981
Major-Armor (Leather)	280	634.11905	126.82381	730.13929	17.36981
Major-Armor (Leather)	290	634.11905	126.82381	730.13929	17.36981
Major-Armor (Leather)	300	634.11905	126.82381	730.13929	17.36981
Moderate-Armor (Leather)	10	0.00000	0.00000	0.00000	0.00000
Moderate-Armor (Leather)	20	71.56407	14.31281	20.71756	69.08540
Moderate-Armor (Leather)	30	79.45713	15.89143	23.72297	66.98752
Moderate-Armor (Leather)	40	97.49299	19.49860	32.03611	60.86444
Moderate-Armor (Leather)	50	120.93399	24.18680	42.79113	56.52293
Moderate-Armor (Leather)	60	157.55661	31.51132	62.38681	50.50959
