
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Research Stat Count per Item: Simple Groups                                                                       ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:58:50                                                                                            0604A (v1.0)
                                                                                                                           
Group_Name	Item_Count	AVG_Stat_Count
Global	14270	3.4081



GROUP BY Quality
Group_Name	Item_Count	AVG_Stat_Count
Uncommon  	 1632	  1.9063
Rare      	 3737	  2.6901
Epic      	 8890	  3.9862
Legendary 	   11	  2.9091



GROUP BY ItemLevelBracket
Group_Name	Item_Count	AVG_Stat_Count
10 	  235	  1.5064
20 	  451	  1.7871
30 	  442	  2.0475
40 	  482	  2.0415
50 	  663	  2.1991
60 	 1173	  2.2924
70 	  586	  2.4727
80 	  295	  2.3153
90 	  216	  2.2407
100	  346	  2.7630
110	 1135	  2.9233
130	  384	  3.3594
140	  554	  3.4657
150	  483	  3.5673
160	  109	  3.0550
170	   96	  2.7813
180	  228	  3.6404
200	 1100	  3.9855
120	  602	  3.3854
210	  912	  4.4101
220	  463	  4.7127
230	  865	  4.6012
240	  678	  4.7640
250	  877	  4.6933
260	  488	  4.7234
270	  385	  4.7299
280	   22	  4.8182



GROUP BY slot_group
Group_Name	Item_Count	AVG_Stat_Count
1H-Weapon      	 1105	  2.9611
Accessory      	 1327	  3.0490
Major-Armor    	 3074	  3.6321
Minor-Armor    	 4218	  3.4289
2H-Weapon      	  411	  2.8540
Back           	  556	  2.9191
Shield         	  228	  2.7061
Staff-Weapon   	  273	  3.4505
Ranged-Thrown  	   48	  2.8542
Moderate-Armor 	 2712	  3.7895
Ranged-Weapon  	  208	  2.7260
Ranged-Wand    	  110	  3.1909



                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Research Stat Count per Item: Two Groups                                                                          ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:58:51                                                                                            0604A (v1.0)
                                                                                                                           

GROUP BY Quality, ItemLevelBracket
Quality	ItemLevel	Item_Count	AVG_Stat_Count
Rare      	Major-Armor    	40 	   18	  2.2778
Rare      	Minor-Armor    	40 	   58	  2.2069
Rare      	Moderate-Armor 	40 	   25	  2.0000
Rare      	Ranged-Weapon  	40 	    9	  1.3333
Rare      	Shield         	40 	    8	  2.1250
Rare      	Ranged-Wand    	40 	    1	  2.0000
Rare      	Staff-Weapon   	40 	    7	  1.7143
Rare      	1H-Weapon      	50 	   31	  1.5484
Rare      	2H-Weapon      	50 	   15	  2.0000
Rare      	Accessory      	50 	   40	  2.0250
Rare      	Back           	50 	   21	  1.6667
Rare      	Major-Armor    	50 	   57	  2.6140
Rare      	Minor-Armor    	50 	  171	  2.4561
Rare      	Moderate-Armor 	50 	   46	  2.3043
Rare      	Ranged-Weapon  	50 	   11	  1.4545
Rare      	Ranged-Wand    	50 	    4	  1.2500
Rare      	Shield         	50 	    7	  1.5714
Rare      	Staff-Weapon   	50 	    8	  2.3750
Rare      	1H-Weapon      	60 	   42	  1.4048
Rare      	2H-Weapon      	60 	   16	  1.5000
Rare      	Accessory      	60 	   64	  1.9219
Rare      	Back           	60 	   29	  1.8276
Rare      	Major-Armor    	60 	  166	  2.5482
Rare      	Minor-Armor    	60 	  273	  2.2821
Rare      	Moderate-Armor 	60 	  113	  2.6637
Rare      	Ranged-Thrown  	60 	    1	  2.0000
Rare      	Ranged-Weapon  	60 	   15	  1.6000
Rare      	Staff-Weapon   	60 	   14	  2.1429
Rare      	Shield         	60 	   11	  1.9091
Rare      	Ranged-Wand    	60 	    5	  1.0000
Rare      	Back           	70 	    4	  2.0000
Rare      	Major-Armor    	70 	    9	  2.4444
Rare      	Minor-Armor    	70 	   23	  2.2609
Rare      	Moderate-Armor 	70 	   46	  2.5652
Rare      	2H-Weapon      	70 	    1	  3.0000
Rare      	Accessory      	70 	    6	  1.6667
Rare      	Accessory      	80 	   12	  2.1667
Rare      	1H-Weapon      	80 	    6	  1.8333
Rare      	2H-Weapon      	80 	    4	  2.5000
Rare      	Back           	80 	    2	  2.0000
Rare      	Major-Armor    	80 	   10	  3.0000
Rare      	Minor-Armor    	80 	   15	  2.6667
Rare      	Moderate-Armor 	80 	    2	  3.0000
Rare      	Staff-Weapon   	80 	    2	  3.0000
Rare      	Ranged-Weapon  	80 	    1	  1.0000
Rare      	1H-Weapon      	90 	   12	  2.5000
Rare      	Accessory      	90 	    8	  1.6250
Rare      	Back           	90 	    7	  2.2857
Rare      	Major-Armor    	90 	   11	  2.9091
Rare      	Minor-Armor    	90 	   18	  2.7778
Rare      	Moderate-Armor 	90 	    8	  3.6250
Rare      	Ranged-Thrown  	90 	    3	  1.6667
Rare      	Ranged-Wand    	90 	    5	  1.8000
Rare      	Ranged-Weapon  	90 	    4	  1.7500
Rare      	Shield         	90 	    2	  2.0000
Rare      	Staff-Weapon   	90 	    3	  1.6667
Rare      	2H-Weapon      	90 	    2	  3.0000
Rare      	1H-Weapon      	100	    7	  1.8571
Rare      	2H-Weapon      	100	    3	  1.3333
Rare      	Accessory      	100	   20	  1.8500
Rare      	Major-Armor    	100	   25	  3.2000
Rare      	Minor-Armor    	100	   23	  2.8696
Rare      	Moderate-Armor 	100	   22	  3.5909
Rare      	Shield         	100	    2	  2.5000
Rare      	Staff-Weapon   	100	    2	  2.5000
Rare      	Back           	100	    7	  1.2857
Rare      	Ranged-Weapon  	100	    1	  2.0000
Rare      	Major-Armor    	110	  194	  3.2887
Rare      	Minor-Armor    	110	  188	  2.8511
Rare      	Ranged-Thrown  	110	    4	  2.0000
Rare      	1H-Weapon      	110	   71	  2.8732
Rare      	2H-Weapon      	110	   29	  3.2759
Rare      	Accessory      	110	   78	  2.2692
Rare      	Back           	110	   28	  2.2143
Rare      	Moderate-Armor 	110	  176	  3.4318
Rare      	Ranged-Wand    	110	    5	  2.4000
Rare      	Ranged-Weapon  	110	   15	  1.8667
Rare      	Shield         	110	    9	  1.7778
Rare      	Staff-Weapon   	110	   15	  3.2000
Rare      	Accessory      	130	    3	  3.0000
Rare      	Major-Armor    	130	    3	  3.0000
Rare      	Minor-Armor    	130	    6	  2.5000
Rare      	Moderate-Armor 	130	    3	  3.3333
Rare      	Shield         	130	    1	  2.0000
Rare      	1H-Weapon      	130	    1	  3.0000
Rare      	Staff-Weapon   	130	    1	  3.0000
Rare      	Accessory      	140	    2	  3.0000
Rare      	Back           	140	    1	  4.0000
Rare      	Major-Armor    	140	    2	  3.0000
Rare      	Minor-Armor    	140	    3	  3.3333
Rare      	Moderate-Armor 	140	    4	  3.0000
Rare      	2H-Weapon      	140	    2	  3.5000
Rare      	1H-Weapon      	140	    1	  2.0000
Rare      	1H-Weapon      	150	    6	  1.6667
Rare      	Accessory      	150	   12	  2.9167
Rare      	Back           	150	    7	  2.8571
Rare      	Major-Armor    	150	    6	  2.6667
Rare      	Minor-Armor    	150	   13	  3.0000
Rare      	Ranged-Thrown  	150	    1	  1.0000
Rare      	Ranged-Wand    	150	    2	  2.0000
Rare      	2H-Weapon      	150	    4	  1.7500
Rare      	Moderate-Armor 	150	   11	  2.5455
Rare      	Shield         	150	    3	  3.3333
Rare      	Staff-Weapon   	150	    1	  1.0000
Rare      	1H-Weapon      	160	   10	  2.4000
Rare      	Major-Armor    	160	   18	  3.6111
Rare      	Minor-Armor    	160	   17	  2.8824
Rare      	Ranged-Weapon  	160	    4	  2.7500
Rare      	Staff-Weapon   	160	    2	  3.0000
Rare      	Accessory      	160	    9	  2.8889
Rare      	Moderate-Armor 	160	    5	  3.2000
Rare      	Back           	160	    3	  3.3333
Rare      	Ranged-Wand    	160	    2	  3.0000
Rare      	Shield         	160	    4	  3.0000
Rare      	Accessory      	170	    9	  3.0000
Rare      	Major-Armor    	170	   21	  3.2857
Rare      	Minor-Armor    	170	   24	  3.0417
Rare      	Moderate-Armor 	170	   12	  2.8333
Rare      	1H-Weapon      	170	    8	  2.2500
Rare      	2H-Weapon      	170	    2	  2.5000
Rare      	Ranged-Thrown  	170	    1	  2.0000
Rare      	Shield         	170	    3	  3.0000
Rare      	Staff-Weapon   	170	    3	  2.0000
Rare      	Ranged-Wand    	170	    2	  1.5000
Rare      	Back           	170	    2	  4.0000
Rare      	Ranged-Weapon  	170	    2	  1.5000
Rare      	1H-Weapon      	180	   14	  2.8571
Rare      	Accessory      	180	   20	  3.1500
Rare      	Back           	180	    9	  3.3333
Rare      	Major-Armor    	180	   43	  3.8837
Rare      	Minor-Armor    	180	   79	  3.8861
Rare      	Moderate-Armor 	180	   43	  3.8605
Rare      	2H-Weapon      	180	    4	  3.5000
Rare      	Ranged-Thrown  	180	    2	  3.0000
Rare      	Ranged-Wand    	180	    4	  3.0000
Rare      	Ranged-Weapon  	180	    2	  2.5000
Rare      	Shield         	180	    2	  3.0000
Rare      	Staff-Weapon   	180	    3	  3.6667
Rare      	1H-Weapon      	200	   33	  3.7576
Rare      	2H-Weapon      	200	   11	  3.4545
Rare      	Accessory      	200	   44	  3.4773
Rare      	Back           	200	   12	  3.5000
Rare      	Major-Armor    	200	   77	  3.9351
Rare      	Minor-Armor    	200	  116	  3.5776
Rare      	Moderate-Armor 	200	   74	  3.9865
Rare      	Ranged-Thrown  	200	    2	  3.0000
Rare      	Ranged-Wand    	200	    5	  3.8000
Rare      	Ranged-Weapon  	200	    7	  3.1429
Rare      	Shield         	200	    5	  3.4000
Rare      	Staff-Weapon   	200	   10	  4.2000
Epic      	Accessory      	30 	    1	  1.0000
Epic      	Staff-Weapon   	40 	    2	  1.5000
Epic      	Shield         	40 	    2	  2.0000
Epic      	Accessory      	40 	    2	  2.0000
Epic      	Major-Armor    	40 	    2	  2.5000
Epic      	Minor-Armor    	40 	    7	  2.7143
Epic      	Ranged-Weapon  	40 	    1	  1.0000
Epic      	Shield         	50 	    1	  2.0000
Epic      	Accessory      	50 	    2	  2.5000
Epic      	Minor-Armor    	50 	    8	  2.6250
Epic      	Staff-Weapon   	50 	    1	  3.0000
Epic      	Major-Armor    	50 	    2	  2.5000
Epic      	Moderate-Armor 	50 	    4	  2.0000
Epic      	1H-Weapon      	50 	    1	  2.0000
Epic      	Accessory      	60 	   39	  2.1795
Epic      	Major-Armor    	60 	   52	  2.6923
Epic      	Moderate-Armor 	60 	   42	  2.8095
Epic      	Minor-Armor    	60 	   94	  2.8404
Epic      	1H-Weapon      	60 	   16	  1.5000
Epic      	Back           	60 	   18	  2.4444
Epic      	Staff-Weapon   	60 	    7	  2.0000
Epic      	2H-Weapon      	60 	    8	  2.5000
Epic      	Ranged-Wand    	60 	    2	  2.0000
Epic      	Shield         	60 	    5	  1.2000
Epic      	Ranged-Weapon  	60 	    1	  2.0000
Epic      	1H-Weapon      	70 	   57	  1.7018
Epic      	2H-Weapon      	70 	   22	  2.2273
Epic      	Accessory      	70 	   46	  1.9783
Epic      	Back           	70 	   15	  1.9333
Epic      	Major-Armor    	70 	   85	  2.7412
Epic      	Minor-Armor    	70 	  146	  2.7877
Epic      	Ranged-Wand    	70 	    4	  1.5000
Epic      	Ranged-Weapon  	70 	   14	  1.2143
Epic      	Staff-Weapon   	70 	   13	  2.6154
Epic      	Moderate-Armor 	70 	   88	  2.9545
Epic      	Shield         	70 	    6	  1.8333
Epic      	Accessory      	80 	   32	  1.7188
Epic      	Back           	80 	    9	  1.8889
Epic      	Major-Armor    	80 	   40	  2.9000
Epic      	Minor-Armor    	80 	   73	  2.3151
Epic      	1H-Weapon      	80 	   17	  1.7059
Epic      	2H-Weapon      	80 	    8	  2.0000
Epic      	Moderate-Armor 	80 	   42	  2.6905
Epic      	Ranged-Weapon  	80 	    2	  1.0000
Epic      	Shield         	80 	    3	  1.6667
Epic      	Staff-Weapon   	80 	    4	  2.2500
Epic      	Ranged-Wand    	80 	    2	  2.0000
Epic      	1H-Weapon      	90 	    1	  3.0000
Epic      	2H-Weapon      	90 	    1	  2.0000
Epic      	Accessory      	90 	   20	  2.2500
Epic      	Back           	90 	    5	  2.2000
Epic      	Major-Armor    	90 	   16	  2.5000
Epic      	Minor-Armor    	90 	   13	  2.6154
Epic      	Moderate-Armor 	90 	    6	  2.6667
Epic      	Ranged-Wand    	90 	    1	  3.0000
Epic      	Ranged-Weapon  	90 	    2	  2.5000
Epic      	Shield         	90 	    2	  1.5000
Epic      	Staff-Weapon   	90 	    1	  3.0000
Epic      	1H-Weapon      	100	   21	  1.9524
Epic      	2H-Weapon      	100	   11	  2.2727
Epic      	Accessory      	100	   22	  2.0909
Epic      	Back           	100	    6	  1.6667
Epic      	Major-Armor    	100	   49	  3.5306
Epic      	Minor-Armor    	100	   41	  3.1220
Epic      	Moderate-Armor 	100	   52	  3.4231
Epic      	Ranged-Thrown  	100	    1	  3.0000
Epic      	Ranged-Weapon  	100	    5	  1.8000
Epic      	Staff-Weapon   	100	    3	  2.6667
Epic      	Shield         	100	    2	  2.5000
Epic      	1H-Weapon      	110	   13	  2.0769
Epic      	Accessory      	110	   51	  2.2157
Epic      	Back           	110	   17	  2.1765
Epic      	Major-Armor    	110	   47	  2.7660
Epic      	Minor-Armor    	110	  132	  3.1212
Epic      	Moderate-Armor 	110	   34	  3.0882
Epic      	Ranged-Wand    	110	    3	  2.3333
Epic      	Shield         	110	    9	  2.4444
Epic      	Staff-Weapon   	110	    5	  3.2000
Epic      	2H-Weapon      	110	    3	  2.0000
Epic      	Ranged-Thrown  	110	    2	  2.0000
Epic      	Ranged-Weapon  	110	    2	  1.0000
Epic      	1H-Weapon      	120	   25	  3.0000
Epic      	2H-Weapon      	120	   12	  3.0833
Epic      	Accessory      	120	   37	  2.5676
Epic      	Back           	120	   18	  2.6111
Epic      	Major-Armor    	120	  135	  3.5259
Epic      	Minor-Armor    	120	  227	  3.5683
Epic      	Moderate-Armor 	120	  133	  3.4812
Epic      	Ranged-Weapon  	120	    3	  1.6667
Epic      	Staff-Weapon   	120	    3	  2.6667
Epic      	Ranged-Thrown  	120	    2	  2.0000
Epic      	Ranged-Wand    	120	    2	  3.0000
Epic      	Shield         	120	    5	  2.4000
Epic      	Accessory      	130	    8	  2.3750
Epic      	Back           	130	    9	  2.8889
Epic      	Major-Armor    	130	   88	  3.7841
Epic      	Minor-Armor    	130	   89	  3.4719
Epic      	1H-Weapon      	130	   35	  2.8571
Epic      	2H-Weapon      	130	   11	  3.0909
Epic      	Ranged-Wand    	130	    4	  2.0000
Epic      	Ranged-Weapon  	130	    3	  2.0000
Epic      	Staff-Weapon   	130	    6	  2.8333
Epic      	Moderate-Armor 	130	   84	  3.7262
Epic      	Ranged-Thrown  	130	    2	  3.0000
Epic      	Shield         	130	    3	  2.6667
Epic      	1H-Weapon      	140	   40	  2.8500
Epic      	2H-Weapon      	140	   10	  3.5000
Epic      	Accessory      	140	   43	  2.9302
Epic      	Back           	140	    6	  2.8333
Epic      	Major-Armor    	140	  118	  3.8390
Epic      	Minor-Armor    	140	  163	  3.6380
Epic      	Moderate-Armor 	140	   96	  3.7188
Epic      	Ranged-Thrown  	140	    2	  2.5000
Epic      	Ranged-Wand    	140	    5	  2.6000
Epic      	Ranged-Weapon  	140	    7	  2.4286
Epic      	Shield         	140	    7	  2.7143
Epic      	Staff-Weapon   	140	    7	  3.5714
Epic      	1H-Weapon      	150	   30	  3.3333
Epic      	2H-Weapon      	150	    6	  3.5000
Epic      	Accessory      	150	   35	  3.1143
Epic      	Back           	150	    7	  3.7143
Epic      	Major-Armor    	150	   78	  3.9872
Epic      	Moderate-Armor 	150	   69	  3.9565
Epic      	Ranged-Weapon  	150	    5	  2.4000
Epic      	Shield         	150	    7	  2.8571
Epic      	Staff-Weapon   	150	    7	  3.8571
Epic      	Minor-Armor    	150	  130	  4.1769
Epic      	Ranged-Thrown  	150	    2	  2.5000
Epic      	Ranged-Wand    	150	    5	  2.8000
Epic      	1H-Weapon      	160	    4	  2.7500
Epic      	2H-Weapon      	160	    1	  3.0000
Epic      	Back           	160	    2	  3.0000
Epic      	Minor-Armor    	160	    5	  3.8000
Epic      	Moderate-Armor 	160	    9	  3.6667
Epic      	Staff-Weapon   	160	    1	  4.0000
Epic      	1H-Weapon      	200	   52	  3.8269
Epic      	2H-Weapon      	200	   11	  3.8182
Epic      	Accessory      	200	   64	  4.0469
Epic      	Back           	200	   19	  4.0526
Epic      	Major-Armor    	200	  155	  4.1935
Epic      	Minor-Armor    	200	  205	  4.1902
Epic      	Moderate-Armor 	200	  158	  4.2405
Epic      	Ranged-Thrown  	200	    3	  3.6667
Epic      	Ranged-Wand    	200	    6	  3.8333
Epic      	Ranged-Weapon  	200	    9	  3.4444
Epic      	Shield         	200	   10	  3.7000
Epic      	Staff-Weapon   	200	   12	  4.1667
Epic      	1H-Weapon      	210	   61	  4.3607
Epic      	2H-Weapon      	210	   19	  4.1579
Epic      	Accessory      	210	   69	  4.2029
Epic      	Back           	210	   32	  4.3438
Epic      	Major-Armor    	210	  214	  4.4720
Epic      	Minor-Armor    	210	  263	  4.3574
Epic      	Moderate-Armor 	210	  199	  4.5528
Epic      	Ranged-Thrown  	210	    2	  4.0000
Epic      	Ranged-Wand    	210	   10	  4.2000
Epic      	Ranged-Weapon  	210	   14	  4.2143
Epic      	Shield         	210	   10	  4.3000
Epic      	Staff-Weapon   	210	   19	  4.5789
Epic      	1H-Weapon      	220	    6	  4.1667
Epic      	2H-Weapon      	220	    1	  4.0000
Epic      	Accessory      	220	   68	  4.5441
Epic      	Back           	220	   20	  4.6000
Epic      	Major-Armor    	220	  102	  4.7059
Epic      	Minor-Armor    	220	  168	  4.7738
Epic      	Moderate-Armor 	220	   93	  4.8172
Epic      	Ranged-Weapon  	220	    1	  3.0000
Epic      	Shield         	220	    3	  4.6667
Epic      	Staff-Weapon   	220	    1	  5.0000
Epic      	1H-Weapon      	230	   86	  4.5349
Epic      	2H-Weapon      	230	   25	  4.4000
Epic      	Accessory      	230	   44	  4.5909
Epic      	Back           	230	   12	  4.6667
Epic      	Major-Armor    	230	  224	  4.5670
Epic      	Minor-Armor    	230	  171	  4.6667
Epic      	Moderate-Armor 	230	  237	  4.6076
Epic      	Ranged-Thrown  	230	    4	  4.7500
Epic      	Ranged-Wand    	230	   10	  4.9000
Epic      	Ranged-Weapon  	230	   17	  4.5294
Epic      	Shield         	230	   11	  4.1818
Epic      	Staff-Weapon   	230	   24	  4.9167
Epic      	1H-Weapon      	240	   55	  4.5818
Epic      	2H-Weapon      	240	   17	  4.4706
Epic      	Accessory      	240	   60	  4.5500
Epic      	Back           	240	   22	  4.6364
Epic      	Major-Armor    	240	  142	  4.8169
Epic      	Minor-Armor    	240	  189	  4.8201
Epic      	Moderate-Armor 	240	  149	  4.8658
Epic      	Ranged-Thrown  	240	    3	  4.6667
Epic      	Ranged-Wand    	240	    7	  4.8571
Epic      	Ranged-Weapon  	240	   12	  4.6667
Epic      	Shield         	240	    8	  4.2500
Epic      	Staff-Weapon   	240	   13	  4.9231
Epic      	1H-Weapon      	250	   57	  4.7018
Epic      	2H-Weapon      	250	   20	  4.3500
Epic      	Accessory      	250	   64	  4.5781
Epic      	Back           	250	   31	  4.6452
Epic      	Major-Armor    	250	  248	  4.6976
Epic      	Minor-Armor    	250	  204	  4.7206
Epic      	Moderate-Armor 	250	  214	  4.7383
Epic      	Ranged-Thrown  	250	    1	  5.0000
Epic      	Ranged-Wand    	250	    2	  5.0000
Epic      	Ranged-Weapon  	250	   11	  4.6364
Epic      	Shield         	250	   10	  4.2000
Epic      	Staff-Weapon   	250	   15	  4.9333
Epic      	1H-Weapon      	260	   41	  4.3171
Epic      	2H-Weapon      	260	   12	  4.0000
Epic      	Accessory      	260	   58	  4.6207
Epic      	Back           	260	   22	  4.5909
Epic      	Major-Armor    	260	   93	  4.8172
Epic      	Minor-Armor    	260	  155	  4.8258
Epic      	Moderate-Armor 	260	   72	  4.9167
Epic      	Ranged-Thrown  	260	    3	  4.6667
Epic      	Ranged-Wand    	260	    8	  4.8750
Epic      	Ranged-Weapon  	260	    8	  4.1250
Epic      	Shield         	260	    4	  4.5000
Epic      	Staff-Weapon   	260	   12	  4.7500
Epic      	Accessory      	270	   39	  4.6410
Epic      	Major-Armor    	270	   87	  4.8506
Epic      	Minor-Armor    	270	   84	  4.8333
Epic      	Moderate-Armor 	270	   87	  4.9080
Epic      	Shield         	270	    5	  4.0000
Epic      	1H-Weapon      	270	   37	  4.2703
Epic      	2H-Weapon      	270	   10	  4.0000
Epic      	Back           	270	   17	  4.7647
Epic      	Ranged-Weapon  	270	    6	  4.0000
Epic      	Staff-Weapon   	270	   11	  4.7273
Epic      	Ranged-Wand    	270	    2	  5.0000
Epic      	1H-Weapon      	280	    5	  5.0000
Epic      	2H-Weapon      	280	    2	  4.5000
Epic      	Accessory      	280	    3	  4.3333
Epic      	Back           	280	    1	  5.0000
Epic      	Minor-Armor    	280	    8	  5.0000
Epic      	Ranged-Weapon  	280	    1	  5.0000
Epic      	Staff-Weapon   	280	    1	  5.0000
Legendary 	1H-Weapon      	80 	    1	  2.0000
Legendary 	2H-Weapon      	80 	    1	  2.0000
Legendary 	Staff-Weapon   	90 	    4	  2.7500
Legendary 	1H-Weapon      	150	    2	  3.0000
Legendary 	Ranged-Weapon  	160	    1	  2.0000
Legendary 	1H-Weapon      	240	    1	  5.0000
Legendary 	2H-Weapon      	280	    1	  4.0000



                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  4. Create and Populate Table: ACSBV3_0604A_stat                                                                      ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:58:51                                                                                            0604A (v1.0)
                                                                                                                           
Slot1_Count
1635


Slot2_Count
321


Slot3_Count
321


Quality	QualityName	ItemLevel	ItemLevelBracket	slot_group	avg_raw	avg_3pnt	avg_mono
4	Epic	56	40	1H-Weapon	2.00000	0.00000	0.00000
4	Epic	71	60	1H-Weapon	1.74029	0.00000	0.00000
4	Epic	86	80	1H-Weapon	1.85000	0.00000	0.00000
4	Epic	107	100	1H-Weapon	1.90455	0.00000	0.00000
4	Epic	130	120	1H-Weapon	2.75709	0.00000	0.00000
4	Epic	148	140	1H-Weapon	2.95908	0.00000	0.00000
4	Epic	164	160	1H-Weapon	2.75000	0.00000	0.00000
4	Epic	211	200	1H-Weapon	4.22766	0.00000	0.00000
4	Epic	232	220	1H-Weapon	4.36474	0.00000	0.00000
4	Epic	251	240	1H-Weapon	4.69536	0.00000	0.00000
4	Epic	271	260	1H-Weapon	4.41804	0.00000	0.00000
4	Epic	284	280	1H-Weapon	5.00000	0.00000	0.00000
4	Epic	70	60	2H-Weapon	2.50000	0.00000	0.00000
4	Epic	85	80	2H-Weapon	2.20000	0.00000	0.00000
4	Epic	107	100	2H-Weapon	2.25000	0.00000	0.00000
4	Epic	130	120	2H-Weapon	2.47619	0.00000	0.00000
4	Epic	148	140	2H-Weapon	3.15833	0.00000	0.00000
4	Epic	164	160	2H-Weapon	3.00000	0.00000	0.00000
4	Epic	211	200	2H-Weapon	4.05050	0.00000	0.00000
4	Epic	232	220	2H-Weapon	4.21345	0.00000	0.00000
4	Epic	251	240	2H-Weapon	4.40228	0.00000	0.00000
4	Epic	271	260	2H-Weapon	4.06349	0.00000	0.00000
4	Epic	284	280	2H-Weapon	4.50000	0.00000	0.00000
4	Epic	36	20	Accessory	1.00000	0.00000	0.00000
4	Epic	50	40	Accessory	2.25000	0.00000	0.00000
4	Epic	70	60	Accessory	2.12650	0.00000	0.00000
4	Epic	87	80	Accessory	2.10636	0.00000	0.00000
4	Epic	109	100	Accessory	2.31587	0.00000	0.00000
4	Epic	129	120	Accessory	2.39732	0.00000	0.00000
4	Epic	149	140	Accessory	3.24164	0.00000	0.00000
4	Epic	210	200	Accessory	3.89712	0.00000	0.00000
4	Epic	232	220	Accessory	4.59110	0.00000	0.00000
4	Epic	253	240	Accessory	4.61357	0.00000	0.00000
4	Epic	270	260	Accessory	4.65326	0.00000	0.00000
4	Epic	284	280	Accessory	4.33333	0.00000	0.00000
4	Epic	71	60	Back	1.95385	0.00000	0.00000
4	Epic	85	80	Back	1.86667	0.00000	0.00000
4	Epic	108	100	Back	1.79643	0.00000	0.00000
4	Epic	129	120	Back	2.44762	0.00000	0.00000
4	Epic	151	140	Back	3.20833	0.00000	0.00000
4	Epic	164	160	Back	3.00000	0.00000	0.00000
4	Epic	211	200	Back	4.26358	0.00000	0.00000
4	Epic	232	220	Back	4.64445	0.00000	0.00000
4	Epic	252	240	Back	4.69015	0.00000	0.00000
4	Epic	271	260	Back	4.67273	0.00000	0.00000
4	Epic	284	280	Back	5.00000	0.00000	0.00000
4	Epic	51	40	Major-Armor	2.50000	0.00000	0.00000
4	Epic	69	60	Major-Armor	2.40621	0.00000	0.00000
4	Epic	86	80	Major-Armor	2.55102	0.00000	0.00000
4	Epic	107	100	Major-Armor	3.03871	0.00000	0.00000
4	Epic	129	120	Major-Armor	3.38102	0.00000	0.00000
4	Epic	149	140	Major-Armor	3.78763	0.00000	0.00000
4	Epic	211	200	Major-Armor	4.40711	0.00000	0.00000
4	Epic	232	220	Major-Armor	4.70687	0.00000	0.00000
4	Epic	252	240	Major-Armor	4.80726	0.00000	0.00000
4	Epic	271	260	Major-Armor	4.88138	0.00000	0.00000
4	Epic	52	40	Minor-Armor	2.66000	0.00000	0.00000
4	Epic	70	60	Minor-Armor	2.49348	0.00000	0.00000
4	Epic	85	80	Minor-Armor	2.34188	0.00000	0.00000
4	Epic	109	100	Minor-Armor	3.19793	0.00000	0.00000
4	Epic	129	120	Minor-Armor	3.31470	0.00000	0.00000
4	Epic	150	140	Minor-Armor	4.11272	0.00000	0.00000
4	Epic	164	160	Minor-Armor	3.80000	0.00000	0.00000
4	Epic	211	200	Minor-Armor	4.37794	0.00000	0.00000
4	Epic	232	220	Minor-Armor	4.76634	0.00000	0.00000
4	Epic	252	240	Minor-Armor	4.81235	0.00000	0.00000
4	Epic	271	260	Minor-Armor	4.85642	0.00000	0.00000
4	Epic	284	280	Minor-Armor	5.00000	0.00000	0.00000
4	Epic	57	40	Moderate-Armor	2.00000	0.00000	0.00000
4	Epic	70	60	Moderate-Armor	2.52652	0.00000	0.00000
4	Epic	86	80	Moderate-Armor	2.62778	0.00000	0.00000
4	Epic	108	100	Moderate-Armor	2.98197	0.00000	0.00000
4	Epic	129	120	Moderate-Armor	3.35251	0.00000	0.00000
4	Epic	149	140	Moderate-Armor	3.83879	0.00000	0.00000
4	Epic	164	160	Moderate-Armor	3.66667	0.00000	0.00000
4	Epic	211	200	Moderate-Armor	4.47142	0.00000	0.00000
4	Epic	232	220	Moderate-Armor	4.75075	0.00000	0.00000
4	Epic	252	240	Moderate-Armor	4.84740	0.00000	0.00000
4	Epic	271	260	Moderate-Armor	5.17477	0.00000	0.00000
4	Epic	108	100	Ranged-Thrown	2.50000	0.00000	0.00000
4	Epic	130	120	Ranged-Thrown	2.50000	0.00000	0.00000
4	Epic	147	140	Ranged-Thrown	2.50000	0.00000	0.00000
4	Epic	207	200	Ranged-Thrown	3.83334	0.00000	0.00000
4	Epic	232	220	Ranged-Thrown	4.75000	0.00000	0.00000
4	Epic	248	240	Ranged-Thrown	4.83334	0.00000	0.00000
4	Epic	264	260	Ranged-Thrown	4.66667	0.00000	0.00000
4	Epic	70	60	Ranged-Wand	1.70000	0.00000	0.00000
4	Epic	87	80	Ranged-Wand	2.50000	0.00000	0.00000
4	Epic	113	100	Ranged-Wand	2.25000	0.00000	0.00000
4	Epic	130	120	Ranged-Wand	2.50000	0.00000	0.00000
4	Epic	147	140	Ranged-Wand	2.65556	0.00000	0.00000
4	Epic	211	200	Ranged-Wand	4.27778	0.00000	0.00000
4	Epic	232	220	Ranged-Wand	4.90000	0.00000	0.00000
4	Epic	248	240	Ranged-Wand	4.92857	0.00000	0.00000
