
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Basic Research: Buy/Sell Price in ACSBV3_ref_dataset.                                                             ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:59:14                                                                                            0700C (v1.0)
                                                                                                                           

  +----------------------------------------------+---------+-----------+  
  |                                              |  Count  |   Ratio   |  
  +----------------------------------------------+---------+-----------+  
  |                                              |         |           |  
  |  ACSBV3_ref_dataset: Total Items             |  18318  |  100.00%  |  
  |                                              |         |           |  
  |  Dataset items with a Buy  Price             |  13097  |   71.50%  |  
  |  Dataset items with a Sell Price             |  13103  |   71.53%  |  
  |                                              |         |           |  
  |  Dataset items with both Buy and Sell Price  |  13096  |   71.49%  |  
  |  Dataset items without a Buy  or Sell Price  |   5214  |   28.46%  |  
  |                                              |         |           |  
  +----------------------------------------------+---------+-----------+  
                                                                          

<-------------------------------------------------------------------------------+-----------------------------------------------------+----------------+---------------------------------------------------->
 Group Information:                                                             | Buy Information:                                    |                | Sell Information:                                   
 +-----------+----------------+------+------+--------------+-------+----------+ | +---------------+---------------+-----------------+ |:--------------:| +-----------------+---------------+---------------+ 
 | Quality   | Slot Group     | iLvl | {lv} |   AVG Budget | Items |  Ratio % | | |  iLvl Ratio % |  Budget Ratio |       Buy Price | |     Ratio %    | |   Sell Price    |  Budget Ratio |  iLvl Ratio % | 
 +-----------+----------------+------+------+--------------+-------+----------+ | +---------------+---------------+-----------------+ |:--------------:| +-----------------+---------------+---------------+ 
 |           |                |      |      |              |       |          | | |               |               |                 | |                | |                 |               |               | 
 | Rare      | ANY            |  113 |  110 |    173.53214 | 13096 | 100.000% | | |      0.04010% |      0.06152% |      282061.733 | |     17.66900%  | |       49837.377 |      0.34820% |      0.22670% | 
 |           |                |      |      |              |       |          | | |               |               |                 | |                | |                 |               |               | 
 +-----------+----------------+------+------+--------------+-------+----------+ | +---------------+---------------+-----------------+ |:--------------:| +-----------------+---------------+---------------+ 
                                                                                |                                                     |                |                                                     
<-------------------------------------------------------------------------------+-----------------------------------------------------+----------------+---------------------------------------------------->

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Basic Research: Buy/Sell Price in ACSBV3_ref_dataset. [GROUP BY Quality, slot_group]                              ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:59:14                                                                                            0700C (v1.0)
                                                                                                                           

<-------------------------------------------------------------------------------+-----------------------------------------------------+----------------+---------------------------------------------------->
 Group Information:                                                             | Buy Information:                                    |                | Sell Information:                                   
 +-----------+----------------+------+------+--------------+-------+----------+ | +---------------+---------------+-----------------+ |:--------------:| +-----------------+---------------+---------------+ 
 | Quality   | Slot Group     | iLvl | {lv} |   AVG Budget | Items |  Ratio % | | |  iLvl Ratio % |  Budget Ratio |       Buy Price | |     Ratio %    | |   Sell Price    |  Budget Ratio |  iLvl Ratio % | 
 +-----------+----------------+------+------+--------------+-------+----------+ | +---------------+---------------+-----------------+ |:--------------:| +-----------------+---------------+---------------+ 
 |           |                |      |      |              |       |          | | |               |               |                 | |                | |                 |               |               | 
 | Uncommon  | Ranged-Wand    |   15 |   10 |     11.31905 |     5 |   0.038% | | |      0.55080% |      0.41565% |        2723.200 | |     19.98400%  | |         544.200 |      2.07994% |      2.75630% | 
 | Uncommon  | Ranged-Wand    |   25 |   20 |     19.03186 |     4 |   0.031% | | |      0.25660% |      0.19533% |        9743.500 | |     19.99800%  | |        1948.500 |      0.97674% |      1.28300% | 
 | Uncommon  | Ranged-Wand    |   33 |   30 |     27.00926 |     6 |   0.046% | | |      0.14790% |      0.12103% |       22316.667 | |     19.99900%  | |        4463.000 |      0.60518% |      0.73940% | 
 | Uncommon  | Ranged-Wand    |   43 |   40 |     34.66667 |     2 |   0.015% | | |      0.08400% |      0.06771% |       51195.000 | |     19.99900%  | |       10238.500 |      0.33859% |      0.42000% | 
 | Uncommon  | Ranged-Wand    |   55 |   50 |     46.86741 |     4 |   0.031% | | |      0.04660% |      0.03974% |      117930.500 | |     20.00000%  | |       23585.750 |      0.19871% |      0.23320% | 
 | Uncommon  | Ranged-Wand    |   62 |   60 |     56.95137 |     3 |   0.023% | | |      0.03760% |      0.03453% |      164941.667 | |     20.00000%  | |       32988.000 |      0.17264% |      0.18790% | 
 | Uncommon  | Ranged-Wand    |   84 |   80 |     76.37255 |     3 |   0.023% | | |      0.04030% |      0.03667% |      208280.667 | |     20.00000%  | |       41656.000 |      0.18334% |      0.20170% | 
 | Uncommon  | Ranged-Wand    |   95 |   90 |     93.38812 |     4 |   0.031% | | |      0.02710% |      0.02665% |      350473.000 | |     20.00000%  | |       70094.000 |      0.13323% |      0.13550% | 
 | Uncommon  | Ranged-Wand    |  106 |  100 |     99.63622 |     4 |   0.031% | | |      0.04110% |      0.03863% |      257894.250 | |     20.00000%  | |       51578.500 |      0.19317% |      0.20550% | 
 | Uncommon  | Ranged-Wand    |  114 |  110 |    109.11765 |     3 |   0.023% | | |      0.04110% |      0.03936% |      277214.333 | |     20.00000%  | |       55442.667 |      0.19681% |      0.20560% | 
 | Uncommon  | Ranged-Wand    |  120 |  120 |    115.29412 |     1 |   0.008% | | |      0.04100% |      0.03941% |      292532.000 | |     20.00000%  | |       58506.000 |      0.19706% |      0.20510% | 
 | Uncommon  | Ranged-Wand    |  134 |  130 |    152.74510 |     3 |   0.023% | | |      0.04100% |      0.04677% |      326561.667 | |     20.00000%  | |       65312.000 |      0.23387% |      0.20520% | 
 | Uncommon  | Ranged-Wand    |  142 |  140 |    158.52941 |     1 |   0.008% | | |      0.04090% |      0.04569% |      346956.000 | |     20.00000%  | |       69391.000 |      0.22846% |      0.20460% | 
 | Uncommon  | Ranged-Wand    |  154 |  150 |    168.43137 |     3 |   0.023% | | |      0.04310% |      0.04718% |      356998.667 | |     20.00000%  | |       71399.333 |      0.23590% |      0.21570% | 
 | Uncommon  | Ranged-Wand    |  164 |  160 |    177.50000 |     2 |   0.015% | | |      0.04360% |      0.04717% |      376289.000 | |     20.00000%  | |       75257.500 |      0.23586% |      0.21790% | 
 | Uncommon  | Ranged-Wand    |  174 |  170 |    187.45098 |     3 |   0.023% | | |      0.04330% |      0.04669% |      401437.667 | |     20.00000%  | |       80287.333 |      0.23348% |      0.21670% | 
 | Uncommon  | Ranged-Wand    |  182 |  180 |    195.88235 |     1 |   0.008% | | |      0.04310% |      0.04644% |      421821.000 | |     20.00000%  | |       84364.000 |      0.23219% |      0.21570% | 
 | Uncommon  | Ranged-Weapon  |   15 |   10 |      8.56601 |     7 |   0.053% | | |      0.54530% |      0.31139% |        2750.857 | |     19.98300%  | |         549.714 |      1.55827% |      2.72870% | 
 | Uncommon  | Ranged-Weapon  |   25 |   20 |     13.81519 |     9 |   0.069% | | |      0.23280% |      0.12866% |       10737.889 | |     19.99600%  | |        2147.111 |      0.64343% |      1.16440% | 
 | Uncommon  | Ranged-Weapon  |   34 |   30 |     18.62234 |    10 |   0.076% | | |      0.13540% |      0.07417% |       25107.200 | |     19.99800%  | |        5021.000 |      0.37089% |      0.67720% | 
 | Uncommon  | Ranged-Weapon  |   45 |   40 |     27.37187 |     8 |   0.061% | | |      0.07420% |      0.04514% |       60631.875 | |     19.99900%  | |       12126.000 |      0.22573% |      0.37110% | 
 | Uncommon  | Ranged-Weapon  |   53 |   50 |     31.93055 |     6 |   0.046% | | |      0.05070% |      0.03052% |      104613.500 | |     19.99900%  | |       20922.167 |      0.15262% |      0.25330% | 
 | Uncommon  | Ranged-Weapon  |   62 |   60 |     39.81138 |     9 |   0.069% | | |      0.04170% |      0.02675% |      148846.333 | |     20.00000%  | |       29768.889 |      0.13373% |      0.20830% | 
 | Uncommon  | Ranged-Weapon  |   84 |   80 |     45.55556 |     9 |   0.069% | | |      0.03950% |      0.02143% |      212555.667 | |     20.00000%  | |       42510.667 |      0.10716% |      0.19760% | 
 | Uncommon  | Ranged-Weapon  |   94 |   90 |     51.97392 |    15 |   0.115% | | |      0.03270% |      0.01809% |      287345.867 | |     20.00000%  | |       57468.667 |      0.09044% |      0.16360% | 
 | Uncommon  | Ranged-Weapon  |  105 |  100 |     53.95062 |     9 |   0.069% | | |      0.04130% |      0.02120% |      254441.444 | |     20.00000%  | |       50888.000 |      0.10602% |      0.20630% | 
 | Uncommon  | Ranged-Weapon  |  114 |  110 |     59.93111 |    10 |   0.076% | | |      0.04170% |      0.02193% |      273319.800 | |     20.00000%  | |       54663.500 |      0.10964% |      0.20850% | 
 | Uncommon  | Ranged-Weapon  |  120 |  120 |     61.11111 |     3 |   0.023% | | |      0.04120% |      0.02099% |      291188.333 | |     20.00000%  | |       58237.333 |      0.10493% |      0.20610% | 
 | Uncommon  | Ranged-Weapon  |  134 |  130 |     75.12346 |     9 |   0.069% | | |      0.04310% |      0.02417% |      310819.111 | |     20.00000%  | |       62163.444 |      0.12085% |      0.21560% | 
 | Uncommon  | Ranged-Weapon  |  142 |  140 |     77.96296 |     3 |   0.023% | | |      0.04250% |      0.02333% |      334235.667 | |     20.00000%  | |       66846.667 |      0.11663% |      0.21240% | 
 | Uncommon  | Ranged-Weapon  |  154 |  150 |     82.77778 |     9 |   0.069% | | |      0.04190% |      0.02252% |      367514.111 | |     20.00000%  | |       73502.444 |      0.11262% |      0.20950% | 
 | Uncommon  | Ranged-Weapon  |  164 |  160 |     87.22223 |     6 |   0.046% | | |      0.04310% |      0.02292% |      380477.833 | |     20.00000%  | |       76095.000 |      0.11462% |      0.21550% | 
 | Uncommon  | Ranged-Weapon  |  174 |  170 |     92.22222 |     9 |   0.069% | | |      0.04290% |      0.02272% |      405867.778 | |     20.00000%  | |       81173.111 |      0.11361% |      0.21440% | 
 | Uncommon  | Ranged-Weapon  |  182 |  180 |     96.48148 |     3 |   0.023% | | |      0.04270% |      0.02263% |      426432.333 | |     20.00000%  | |       85286.000 |      0.11313% |      0.21340% | 
 | Uncommon  | Staff-Weapon   |   17 |   10 |     14.44497 |     9 |   0.069% | | |      0.27860% |      0.23669% |        6102.889 | |     19.99200%  | |        1220.111 |      1.18391% |      1.39330% | 
 | Uncommon  | Staff-Weapon   |   24 |   20 |     19.22812 |     7 |   0.053% | | |      0.15170% |      0.12151% |       15824.000 | |     19.99800%  | |        3164.429 |      0.60763% |      0.75840% | 
 | Uncommon  | Staff-Weapon   |   36 |   30 |     32.83983 |     4 |   0.031% | | |      0.07440% |      0.06784% |       48407.750 | |     19.99900%  | |        9681.250 |      0.33921% |      0.37190% | 
 | Uncommon  | Staff-Weapon   |   42 |   40 |     31.65923 |     3 |   0.023% | | |      0.04990% |      0.03763% |       84126.333 | |     19.99900%  | |       16824.667 |      0.18817% |      0.24960% | 
 | Uncommon  | Staff-Weapon   |   55 |   50 |     42.39673 |     3 |   0.023% | | |      0.02930% |      0.02258% |      187741.000 | |     20.00000%  | |       37547.667 |      0.11291% |      0.14650% | 
 | Uncommon  | Staff-Weapon   |   61 |   60 |     60.55100 |     3 |   0.023% | | |      0.02250% |      0.02229% |      271671.000 | |     20.00000%  | |       54333.667 |      0.11144% |      0.11230% | 
 | Uncommon  | Staff-Weapon   |   84 |   80 |     59.42857 |     6 |   0.046% | | |      0.02460% |      0.01744% |      340776.500 | |     20.00000%  | |       68154.833 |      0.08720% |      0.12320% | 
 | Uncommon  | Staff-Weapon   |   95 |   90 |     72.96878 |     8 |   0.061% | | |      0.01960% |      0.01508% |      484000.500 | |     20.00000%  | |       96799.625 |      0.07538% |      0.09810% | 
 | Uncommon  | Staff-Weapon   |  105 |  100 |     72.57143 |     6 |   0.046% | | |      0.02430% |      0.01679% |      432107.333 | |     20.00000%  | |       86421.000 |      0.08397% |      0.12150% | 
 | Uncommon  | Staff-Weapon   |  114 |  110 |     80.14286 |     6 |   0.046% | | |      0.02460% |      0.01732% |      462722.000 | |     20.00000%  | |       92544.167 |      0.08660% |      0.12320% | 
 | Uncommon  | Staff-Weapon   |  120 |  120 |     84.71429 |     2 |   0.015% | | |      0.02540% |      0.01793% |      472596.500 | |     20.00000%  | |       94519.000 |      0.08963% |      0.12700% | 
 | Uncommon  | Staff-Weapon   |  134 |  130 |    108.09524 |     6 |   0.046% | | |      0.02540% |      0.02048% |      527722.000 | |     20.00000%  | |      105543.833 |      0.10242% |      0.12700% | 
 | Uncommon  | Staff-Weapon   |  143 |  140 |    113.00000 |     3 |   0.023% | | |      0.02500% |      0.01972% |      572994.333 | |     20.00000%  | |      114598.333 |      0.09861% |      0.12480% | 
 | Uncommon  | Staff-Weapon   |  154 |  150 |    119.23809 |     6 |   0.046% | | |      0.02640% |      0.02042% |      583938.667 | |     20.00000%  | |      116787.333 |      0.10210% |      0.13190% | 
 | Uncommon  | Staff-Weapon   |  164 |  160 |    125.57143 |     4 |   0.031% | | |      0.02600% |      0.01991% |      630581.250 | |     20.00000%  | |      126115.750 |      0.09957% |      0.13000% | 
 | Uncommon  | Staff-Weapon   |  174 |  170 |    132.61905 |     6 |   0.046% | | |      0.02590% |      0.01972% |      672680.500 | |     20.00000%  | |      134535.833 |      0.09858% |      0.12930% | 
 | Uncommon  | Staff-Weapon   |  182 |  180 |    138.71429 |     2 |   0.015% | | |      0.02570% |      0.01963% |      706819.500 | |     20.00000%  | |      141363.500 |      0.09813% |      0.12870% | 
 | Uncommon  | Accessory      |   16 |   10 |      2.13182 |    11 |   0.084% | | |      0.71680% |      0.09550% |        2232.273 | |     24.98900%  | |         557.818 |      0.38217% |      2.86830% | 
 | Uncommon  | Accessory      |   24 |   20 |      4.76731 |    26 |   0.199% | | |      0.62880% |      0.12491% |        3816.500 | |     24.66800%  | |         941.462 |      0.50637% |      2.54920% | 
 | Uncommon  | Accessory      |   34 |   30 |      7.52600 |    25 |   0.191% | | |      0.38240% |      0.08466% |        8890.080 | |     24.99800%  | |        2222.320 |      0.33866% |      1.52990% | 
 | Uncommon  | Accessory      |   45 |   40 |     10.71429 |    14 |   0.107% | | |      0.22440% |      0.05344% |       20049.071 | |     24.99800%  | |        5011.857 |      0.21378% |      0.89790% | 
 | Uncommon  | Accessory      |   56 |   50 |     13.32188 |    16 |   0.122% | | |      0.13370% |      0.03180% |       41889.250 | |     25.00000%  | |       10472.125 |      0.12721% |      0.53480% | 
 | Uncommon  | Accessory      |   62 |   60 |     15.28333 |    18 |   0.137% | | |      0.13580% |      0.03349% |       45638.889 | |     23.61300%  | |       10776.556 |      0.14182% |      0.57530% | 
 | Uncommon  | Accessory      |   83 |   80 |     42.00000 |     2 |   0.015% | | |      0.07580% |      0.03834% |      109552.000 | |     25.00000%  | |       27388.000 |      0.15335% |      0.30310% | 
 | Uncommon  | Accessory      |   91 |   90 |     21.96667 |     6 |   0.046% | | |      0.16780% |      0.04050% |       54237.333 | |     24.99900%  | |       13558.833 |      0.16201% |      0.67110% | 
 | Uncommon  | Accessory      |  103 |  100 |     15.00000 |     1 |   0.008% | | |      0.19810% |      0.02885% |       52000.000 | |     25.00000%  | |       13000.000 |      0.11538% |      0.79230% | 
 | Uncommon  | Accessory      |  138 |  130 |     44.37500 |     4 |   0.031% | | |      0.10960% |      0.03524% |      125915.000 | |     24.99900%  | |       31478.000 |      0.14097% |      0.43840% | 
 | Uncommon  | Accessory      |  162 |  160 |     60.25000 |     2 |   0.015% | | |      0.11090% |      0.04123% |      146121.000 | |     25.00000%  | |       36530.000 |      0.16493% |      0.44350% | 
 | Uncommon  | Back           |   17 |   10 |      4.51852 |    27 |   0.206% | | |      1.25280% |      0.33300% |        1356.926 | |     19.96300%  | |         270.889 |      1.66803% |      6.27560% | 
 | Uncommon  | Back           |   24 |   20 |      6.23700 |    50 |   0.382% | | |      0.62030% |      0.16120% |        3869.060 | |     19.99000%  | |         773.440 |      0.80640% |      3.10300% | 
 | Uncommon  | Back           |   35 |   30 |      7.84783 |    46 |   0.351% | | |      0.32830% |      0.07361% |       10661.065 | |     19.99700%  | |        2131.891 |      0.36812% |      1.64170% | 
 | Uncommon  | Back           |   45 |   40 |     10.16000 |    45 |   0.344% | | |      0.18580% |      0.04194% |       24223.356 | |     19.99800%  | |        4844.156 |      0.20974% |      0.92900% | 
 | Uncommon  | Back           |   54 |   50 |     12.31625 |    40 |   0.305% | | |      0.11670% |      0.02662% |       46271.000 | |     19.99900%  | |        9253.750 |      0.13309% |      0.58350% | 
 | Uncommon  | Back           |   61 |   60 |     17.00909 |    11 |   0.084% | | |      0.10920% |      0.03045% |       55853.546 | |     19.99900%  | |       11170.364 |      0.15227% |      0.54610% | 
 | Uncommon  | Back           |   84 |   80 |     10.60000 |     3 |   0.023% | | |      0.09810% |      0.01238% |       85632.000 | |     20.00000%  | |       17126.000 |      0.06189% |      0.49050% | 
 | Uncommon  | Back           |   93 |   90 |     22.28571 |     7 |   0.053% | | |      0.06170% |      0.01480% |      150616.286 | |     20.00000%  | |       30122.857 |      0.07398% |      0.30870% | 
 | Uncommon  | Back           |  106 |  100 |     16.60000 |     4 |   0.031% | | |      0.10840% |      0.01698% |       97753.500 | |     20.00000%  | |       19550.500 |      0.08491% |      0.54220% | 
 | Uncommon  | Back           |  114 |  110 |     14.06667 |     3 |   0.023% | | |      0.10700% |      0.01320% |      106588.000 | |     19.99900%  | |       21317.000 |      0.06599% |      0.53480% | 
 | Uncommon  | Back           |  120 |  120 |     14.80000 |     1 |   0.008% | | |      0.10480% |      0.01292% |      114509.000 | |     19.99900%  | |       22901.000 |      0.06463% |      0.52400% | 
 | Uncommon  | Back           |  134 |  130 |     16.40000 |     3 |   0.023% | | |      0.10660% |      0.01305% |      125650.667 | |     20.00000%  | |       25129.667 |      0.06526% |      0.53320% | 
 | Uncommon  | Back           |  144 |  140 |     17.60000 |     2 |   0.015% | | |      0.10440% |      0.01277% |      137869.500 | |     20.00000%  | |       27573.500 |      0.06383% |      0.52220% | 
 | Uncommon  | Back           |  154 |  150 |     18.80000 |     3 |   0.023% | | |      0.10400% |      0.01270% |      148063.333 | |     20.00000%  | |       29612.333 |      0.06349% |      0.52010% | 
 | Uncommon  | Back           |  164 |  160 |     20.00000 |     2 |   0.015% | | |      0.10350% |      0.01263% |      158402.000 | |     20.00000%  | |       31680.000 |      0.06313% |      0.51770% | 
 | Uncommon  | Back           |  174 |  170 |     21.13333 |     3 |   0.023% | | |      0.10650% |      0.01293% |      163414.667 | |     20.00000%  | |       32682.333 |      0.06466% |      0.53240% | 
 | Uncommon  | Back           |  182 |  180 |     22.20000 |     1 |   0.008% | | |      0.11330% |      0.01382% |      160588.000 | |     20.00000%  | |       32117.000 |      0.06912% |      0.56670% | 
 | Uncommon  | Major-Armor    |   15 |   10 |     15.49188 |   117 |   0.893% | | |      0.90190% |      0.93147% |        1663.171 | |     19.97400%  | |         332.205 |      4.66335% |      4.51530% | 
 | Uncommon  | Major-Armor    |   24 |   20 |     22.22222 |   117 |   0.893% | | |      0.38740% |      0.35871% |        6195.094 | |     19.99300%  | |        1238.615 |      1.79412% |      1.93760% | 
 | Uncommon  | Major-Armor    |   34 |   30 |     27.09079 |   114 |   0.870% | | |      0.20430% |      0.16282% |       16638.904 | |     19.99800%  | |        3327.421 |      0.81417% |      1.02180% | 
 | Uncommon  | Major-Armor    |   44 |   40 |     43.99406 |   143 |   1.092% | | |      0.10570% |      0.10565% |       41642.783 | |     19.99900%  | |        8328.154 |      0.52826% |      0.52830% | 
 | Uncommon  | Major-Armor    |   55 |   50 |     50.85072 |   139 |   1.061% | | |      0.06810% |      0.06292% |       80820.050 | |     20.00000%  | |       16163.619 |      0.31460% |      0.34030% | 
 | Uncommon  | Major-Armor    |   62 |   60 |     61.34337 |    98 |   0.748% | | |      0.05800% |      0.05739% |      106892.929 | |     20.00000%  | |       21378.194 |      0.28694% |      0.29000% | 
 | Uncommon  | Major-Armor    |   76 |   70 |    125.80000 |     1 |   0.008% | | |      0.05160% |      0.08547% |      147185.000 | |     20.00000%  | |       29437.000 |      0.42735% |      0.25820% | 
 | Uncommon  | Major-Armor    |   84 |   80 |     73.37600 |    25 |   0.191% | | |      0.05440% |      0.04752% |      154397.800 | |     20.00000%  | |       30879.120 |      0.23762% |      0.27200% | 
 | Uncommon  | Major-Armor    |   94 |   90 |     92.34884 |    43 |   0.328% | | |      0.04670% |      0.04585% |      201424.861 | |     20.00000%  | |       40284.581 |      0.22924% |      0.23330% | 
 | Uncommon  | Major-Armor    |  105 |  100 |     99.49333 |    30 |   0.229% | | |      0.05660% |      0.05364% |      185499.800 | |     20.00000%  | |       37099.600 |      0.26818% |      0.28300% | 
 | Uncommon  | Major-Armor    |  114 |  110 |     93.92308 |    26 |   0.199% | | |      0.05880% |      0.04844% |      193886.885 | |     20.00000%  | |       38776.923 |      0.24221% |      0.29400% | 
 | Uncommon  | Major-Armor    |  120 |  120 |    100.52500 |     8 |   0.061% | | |      0.05720% |      0.04788% |      209951.375 | |     20.00000%  | |       41989.750 |      0.23940% |      0.28580% | 
 | Uncommon  | Major-Armor    |  135 |  130 |    128.81724 |    29 |   0.221% | | |      0.05870% |      0.05597% |      230153.172 | |     20.00000%  | |       46030.276 |      0.27985% |      0.29330% | 
 | Uncommon  | Major-Armor    |  144 |  140 |    156.78478 |    23 |   0.176% | | |      0.05730% |      0.06244% |      251103.174 | |     20.00000%  | |       50220.174 |      0.31219% |      0.28670% | 
 | Uncommon  | Major-Armor    |  154 |  150 |    148.02500 |    28 |   0.214% | | |      0.05810% |      0.05581% |      265219.286 | |     20.00000%  | |       53043.464 |      0.27906% |      0.29030% | 
 | Uncommon  | Major-Armor    |  164 |  160 |    152.98824 |    17 |   0.130% | | |      0.05850% |      0.05455% |      280476.000 | |     20.00000%  | |       56094.765 |      0.27273% |      0.29240% | 
 | Uncommon  | Major-Armor    |  174 |  170 |    157.36200 |    25 |   0.191% | | |      0.05830% |      0.05269% |      298660.640 | |     20.00000%  | |       59731.680 |      0.26345% |      0.29130% | 
 | Uncommon  | Major-Armor    |  182 |  180 |    150.47500 |     8 |   0.061% | | |      0.06090% |      0.05037% |      298721.750 | |     20.00000%  | |       59743.750 |      0.25187% |      0.30460% | 
 | Uncommon  | Minor-Armor    |   17 |   10 |     11.78879 |   107 |   0.817% | | |      1.30740% |      0.90660% |        1300.327 | |     19.97100%  | |         259.692 |      4.53953% |      6.54620% | 
 | Uncommon  | Minor-Armor    |   25 |   20 |     14.62108 |   185 |   1.413% | | |      0.66060% |      0.38638% |        3784.168 | |     19.99000%  | |         756.438 |      1.93289% |      3.30500% | 
 | Uncommon  | Minor-Armor    |   35 |   30 |     18.68446 |   193 |   1.474% | | |      0.34600% |      0.18473% |       10114.503 | |     19.99600%  | |        2022.466 |      0.92385% |      1.73060% | 
 | Uncommon  | Minor-Armor    |   44 |   40 |     29.44223 |   251 |   1.917% | | |      0.17880% |      0.11963% |       24610.586 | |     19.99800%  | |        4921.709 |      0.59821% |      0.89400% | 
 | Uncommon  | Minor-Armor    |   54 |   50 |     36.58727 |   220 |   1.680% | | |      0.11430% |      0.07742% |       47259.891 | |     19.99900%  | |        9451.573 |      0.38710% |      0.57130% | 
 | Uncommon  | Minor-Armor    |   61 |   60 |     41.25425 |   106 |   0.809% | | |      0.09830% |      0.06647% |       62066.726 | |     19.99900%  | |       12412.953 |      0.33235% |      0.49140% | 
 | Uncommon  | Minor-Armor    |   84 |   80 |     46.04608 |    51 |   0.389% | | |      0.09670% |      0.05302% |       86849.157 | |     20.00000%  | |       17369.431 |      0.26510% |      0.48360% | 
 | Uncommon  | Minor-Armor    |   94 |   90 |     58.11359 |    92 |   0.703% | | |      0.08440% |      0.05219% |      111341.120 | |     20.00000%  | |       22267.848 |      0.26098% |      0.42210% | 
 | Uncommon  | Minor-Armor    |  105 |  100 |     55.44800 |    50 |   0.382% | | |      0.10010% |      0.05284% |      104930.960 | |     20.00000%  | |       20985.840 |      0.26422% |      0.50030% | 
 | Uncommon  | Minor-Armor    |  114 |  110 |     58.99583 |    48 |   0.367% | | |      0.10190% |      0.05276% |      111828.896 | |     20.00000%  | |       22365.438 |      0.26378% |      0.50970% | 
 | Uncommon  | Minor-Armor    |  120 |  120 |     61.97500 |    16 |   0.122% | | |      0.10220% |      0.05276% |      117460.688 | |     20.00000%  | |       23491.688 |      0.26382% |      0.51080% | 
 | Uncommon  | Minor-Armor    |  134 |  130 |     77.81964 |    56 |   0.428% | | |      0.10360% |      0.06018% |      129315.339 | |     20.00000%  | |       25862.661 |      0.30090% |      0.51810% | 
 | Uncommon  | Minor-Armor    |  144 |  140 |    106.59667 |    45 |   0.344% | | |      0.09880% |      0.07312% |      145777.978 | |     20.00000%  | |       29155.222 |      0.36562% |      0.49390% | 
 | Uncommon  | Minor-Armor    |  154 |  150 |     89.34561 |    57 |   0.435% | | |      0.10510% |      0.06097% |      146550.491 | |     20.00000%  | |       29309.807 |      0.30483% |      0.52540% | 
 | Uncommon  | Minor-Armor    |  164 |  160 |     88.41765 |    34 |   0.260% | | |      0.10470% |      0.05645% |      156643.618 | |     20.00000%  | |       31328.294 |      0.28223% |      0.52350% | 
 | Uncommon  | Minor-Armor    |  174 |  170 |     88.82917 |    48 |   0.367% | | |      0.10500% |      0.05359% |      165758.542 | |     20.00000%  | |       33151.313 |      0.26795% |      0.52490% | 
 | Uncommon  | Minor-Armor    |  182 |  180 |     92.81250 |    16 |   0.122% | | |      0.10860% |      0.05536% |      167664.625 | |     20.00000%  | |       33532.500 |      0.27678% |      0.54280% | 
 | Uncommon  | Moderate-Armor |   26 |   20 |     20.33333 |    30 |   0.229% | | |      0.42860% |      0.33517% |        6066.567 | |     19.99400%  | |        1212.933 |      1.67638% |      2.14360% | 
 | Uncommon  | Moderate-Armor |   35 |   30 |     25.20952 |   105 |   0.802% | | |      0.25990% |      0.18720% |       13466.267 | |     19.99700%  | |        2692.848 |      0.93617% |      1.29970% | 
 | Uncommon  | Moderate-Armor |   45 |   40 |     38.55111 |   135 |   1.031% | | |      0.13910% |      0.11915% |       32355.207 | |     19.99900%  | |        6470.585 |      0.59579% |      0.69550% | 
 | Uncommon  | Moderate-Armor |   55 |   50 |     52.99252 |   107 |   0.817% | | |      0.08380% |      0.08077% |       65609.944 | |     19.99900%  | |       13121.598 |      0.40386% |      0.41920% | 
 | Uncommon  | Moderate-Armor |   62 |   60 |     53.35500 |    70 |   0.535% | | |      0.07850% |      0.06755% |       78981.843 | |     19.99900%  | |       15795.971 |      0.33778% |      0.39250% | 
 | Uncommon  | Moderate-Armor |   84 |   80 |     59.98333 |    24 |   0.183% | | |      0.07260% |      0.05182% |      115749.875 | |     20.00000%  | |       23149.542 |      0.25911% |      0.36290% | 
 | Uncommon  | Moderate-Armor |   94 |   90 |     73.33462 |    39 |   0.298% | | |      0.06170% |      0.04817% |      152228.359 | |     20.00000%  | |       30445.308 |      0.24087% |      0.30880% | 
 | Uncommon  | Moderate-Armor |  105 |  100 |     73.68333 |    24 |   0.183% | | |      0.07610% |      0.05337% |      138056.917 | |     20.00000%  | |       27611.000 |      0.26686% |      0.38030% | 
 | Uncommon  | Moderate-Armor |  114 |  110 |     79.73333 |    24 |   0.183% | | |      0.07650% |      0.05354% |      148932.208 | |     20.00000%  | |       29786.083 |      0.26769% |      0.38270% | 
 | Uncommon  | Moderate-Armor |  120 |  120 |     83.77500 |     8 |   0.061% | | |      0.07480% |      0.05222% |      160413.750 | |     20.00000%  | |       32082.500 |      0.26112% |      0.37400% | 
 | Uncommon  | Moderate-Armor |  134 |  130 |     93.82800 |    25 |   0.191% | | |      0.07760% |      0.05435% |      172636.600 | |     20.00000%  | |       34526.840 |      0.27175% |      0.38810% | 
 | Uncommon  | Moderate-Armor |  144 |  140 |    138.59375 |    24 |   0.183% | | |      0.07520% |      0.07236% |      191528.958 | |     20.00000%  | |       38305.375 |      0.36181% |      0.37590% | 
